epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4681,3.6417,6.01158,2.72873,0.00283,0.85,0.00305,0.00075,2.31516,5.53571,1.8424,0.00024,0.00024,0.00024
2,26.4207,2.67118,4.80447,1.83039,0.00333,1,0.00691,0.00152,2.71426,4.62961,2.13121,0.0004901,0.0004901,0.0004901
3,39.2472,2.38273,4.24706,1.64529,0.00333,1,0.00603,0.00268,2.57829,5.09685,2.07276,0.000729904,0.000729904,0.000729904
4,52.4495,2.12224,3.77815,1.62158,0,0,0,0,3.66613,4.6259,2.91358,0.000959412,0.000959412,0.000959412
5,65.3133,2.15086,3.33623,1.53608,0.00333,1,0.0091,0.00331,2.04363,4.18201,1.56528,0.00117862,0.00117862,0.00117862
6,78.3408,1.92693,3.20119,1.54419,0.003,0.9,0.0033,0.00108,2.27211,4.00048,2.16763,0.00138754,0.00138754,0.00138754
7,91.1016,1.99233,3.15249,1.56296,0.0015,0.45,0.0012,0.00053,2.08439,4.40776,1.96002,0.00158616,0.00158616,0.00158616
8,103.836,1.87519,2.85704,1.45141,0.00333,1,0.00553,0.00245,2.04562,3.78492,1.85219,0.0017228,0.0017228,0.0017228
9,116.785,1.76472,2.80814,1.37849,0.003,0.9,0.24341,0.08829,2.17074,4.50874,1.73482,0.0016832,0.0016832,0.0016832
10,129.732,1.87123,2.49467,1.3122,0.88909,0.40091,0.43657,0.23285,1.92995,3.88775,1.55307,0.0016436,0.0016436,0.0016436
11,143.155,1.69801,2.33067,1.27657,0.73799,0.45,0.58718,0.25275,1.25011,3.31725,1.27185,0.001604,0.001604,0.001604
12,156.035,1.61077,2.02766,1.24863,1,0.59978,0.99262,0.72154,1.27937,2.91539,1.23061,0.0015644,0.0015644,0.0015644
13,168.846,1.64734,2.05493,1.26766,0.92184,0.59035,0.89288,0.68419,1.08635,3.1945,1.22079,0.0015248,0.0015248,0.0015248
14,181.662,1.62519,2.02416,1.33042,0.61805,0.97127,0.80908,0.50438,1.26329,2.72319,1.28087,0.0014852,0.0014852,0.0014852
15,194.74,1.48554,1.87324,1.22394,1,0.99559,0.995,0.76128,1.14386,1.69185,1.20296,0.0014456,0.0014456,0.0014456
16,210.113,1.42127,1.67808,1.10231,0.95149,1,0.995,0.58753,1.19983,1.49584,1.21491,0.001406,0.001406,0.001406
17,226.615,1.2608,1.65787,1.07397,0.65667,0.45,0.51396,0.19935,1.6249,2.73118,1.37891,0.0013664,0.0013664,0.0013664
18,243.184,1.37441,1.66152,1.08148,0.409,0.45,0.40729,0.17206,1.66009,2.52984,1.42,0.0013268,0.0013268,0.0013268
19,260.346,1.27538,1.43046,1.07031,0.94161,1,0.96167,0.62127,1.2083,1.30192,1.268,0.0012872,0.0012872,0.0012872
20,278.477,1.22937,1.38886,1.07436,0.99365,1,0.995,0.61182,1.07991,1.31931,1.19111,0.0012476,0.0012476,0.0012476
21,295.313,1.23677,1.52797,1.0943,0.96809,1,0.995,0.60911,1.21408,1.90086,1.21072,0.001208,0.001208,0.001208
22,311.931,1.17686,1.32896,1.06218,0.9816,1,0.995,0.68387,1.34541,1.62183,1.32123,0.0011684,0.0011684,0.0011684
23,330.34,1.17861,1.31922,1.09007,0.99473,1,0.995,0.75957,0.84398,0.97651,1.12122,0.0011288,0.0011288,0.0011288
24,346.146,1.07448,1.2425,1.02092,0.99795,1,0.995,0.66401,0.968,1.07069,1.20995,0.0010892,0.0010892,0.0010892
25,359.096,1.07646,1.25149,1.02448,0.99949,1,0.995,0.7462,0.929,1.0456,1.14216,0.0010496,0.0010496,0.0010496
