epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,123.385,5.64529,0.17834,0.41083,4.01646,0.00333111,0.00333111,0.00333111
2,244.898,3.56261,0.3395,0.64341,2.76996,0.00659846,0.00659846,0.00659846
3,364.274,3.11314,0.34539,0.64146,2.81897,0.00979982,0.00979982,0.00979982
4,478.367,3.1688,0.3825,0.67089,2.63166,0.009703,0.009703,0.009703
5,597.083,2.84275,0.41923,0.71814,2.39721,0.009604,0.009604,0.009604
6,715.447,2.54776,0.4632,0.74514,2.23633,0.009505,0.009505,0.009505
7,829.748,2.37737,0.50765,0.78237,2.00447,0.009406,0.009406,0.009406
8,947.095,2.21934,0.52105,0.79475,1.94667,0.009307,0.009307,0.009307
9,1066.13,2.11564,0.54167,0.80794,1.83509,0.009208,0.009208,0.009208
10,1190.48,1.99123,0.55064,0.81821,1.778,0.009109,0.009109,0.009109
11,1311.86,1.89814,0.5709,0.82499,1.71433,0.00901,0.00901,0.00901
12,1422.55,1.80038,0.5847,0.83924,1.64061,0.008911,0.008911,0.008911
13,1522.54,1.72938,0.59952,0.84598,1.58284,0.008812,0.008812,0.008812
14,1623.26,1.64281,0.61186,0.84902,1.57013,0.008713,0.008713,0.008713
15,1725.5,1.60401,0.61531,0.85824,1.51285,0.008614,0.008614,0.008614
16,1841.04,1.53237,0.6268,0.86189,1.48171,0.008515,0.008515,0.008515
17,1960.83,1.5019,0.6309,0.86449,1.48046,0.008416,0.008416,0.008416
18,2081.96,1.44632,0.63752,0.86567,1.44801,0.008317,0.008317,0.008317
19,2202.64,1.39745,0.64227,0.86961,1.42584,0.008218,0.008218,0.008218
20,2322.38,1.36089,0.64974,0.87395,1.39859,0.008119,0.008119,0.008119
21,2440.9,1.32094,0.6514,0.8757,1.40524,0.00802,0.00802,0.00802
22,2559.49,1.25401,0.6553,0.87781,1.37835,0.007921,0.007921,0.007921
23,2678.99,1.25422,0.65794,0.87691,1.38458,0.007822,0.007822,0.007822
24,2798.33,1.20005,0.66009,0.87967,1.37465,0.007723,0.007723,0.007723
25,2918,1.19009,0.66602,0.88377,1.35243,0.007624,0.007624,0.007624
26,3037.77,1.13275,0.66886,0.88381,1.33983,0.007525,0.007525,0.007525
27,3159.38,1.13085,0.67211,0.88519,1.34073,0.007426,0.007426,0.007426
28,3277.22,1.09628,0.67617,0.88808,1.32179,0.007327,0.007327,0.007327
29,3395.56,1.06625,0.67515,0.88808,1.32613,0.007228,0.007228,0.007228
30,3513.93,1.05377,0.67885,0.88865,1.32457,0.007129,0.007129,0.007129
31,3633.55,1.01996,0.68006,0.88804,1.31786,0.00703,0.00703,0.00703
32,3752.62,0.99268,0.68185,0.88889,1.32335,0.006931,0.006931,0.006931
33,3872.36,0.98613,0.68217,0.88966,1.32187,0.006832,0.006832,0.006832
34,3990.42,0.96129,0.6836,0.89096,1.31694,0.006733,0.006733,0.006733
35,4110.22,0.9466,0.68656,0.89262,1.30624,0.006634,0.006634,0.006634
36,4229.2,0.92879,0.6879,0.89291,1.30752,0.006535,0.006535,0.006535
37,4347.95,0.90377,0.68932,0.8934,1.30764,0.006436,0.006436,0.006436
38,4451,0.90736,0.69054,0.89279,1.30795,0.006337,0.006337,0.006337
39,4553.4,0.86519,0.69046,0.89275,1.30875,0.006238,0.006238,0.006238
40,4671.71,0.84759,0.69005,0.8938,1.30823,0.006139,0.006139,0.006139
41,4794.53,0.82771,0.69094,0.89425,1.30647,0.00604,0.00604,0.00604
42,4916.47,0.82797,0.69143,0.89538,1.30705,0.005941,0.005941,0.005941
43,5039.05,0.79872,0.69159,0.89518,1.3071,0.005842,0.005842,0.005842
44,5160.76,0.79019,0.69102,0.89547,1.30585,0.005743,0.005743,0.005743
45,5282.89,0.78981,0.69078,0.8951,1.3069,0.005644,0.005644,0.005644
46,5404.17,0.75978,0.69102,0.89498,1.30732,0.005545,0.005545,0.005545
47,5526.02,0.76416,0.69147,0.89538,1.30735,0.005446,0.005446,0.005446
48,5647.79,0.73711,0.69301,0.8951,1.30727,0.005347,0.005347,0.005347
49,5771.27,0.72316,0.69366,0.8953,1.30747,0.005248,0.005248,0.005248
50,5892.87,0.71269,0.69447,0.89595,1.30719,0.005149,0.005149,0.005149
51,6015.28,0.69344,0.69476,0.89542,1.30637,0.00505,0.00505,0.00505
52,6136.64,0.6682,0.69496,0.89575,1.30599,0.004951,0.004951,0.004951
53,6260.54,0.6703,0.69561,0.89547,1.30526,0.004852,0.004852,0.004852
54,6382.67,0.65504,0.69626,0.89575,1.30527,0.004753,0.004753,0.004753
55,6504.95,0.65143,0.69659,0.8962,1.30504,0.004654,0.004654,0.004654
56,6626.44,0.6249,0.69719,0.89624,1.30571,0.004555,0.004555,0.004555
57,6750.53,0.62463,0.69711,0.89624,1.30577,0.004456,0.004456,0.004456
58,6873.81,0.61056,0.69691,0.89624,1.30652,0.004357,0.004357,0.004357
59,6996.71,0.59136,0.6974,0.89632,1.30699,0.004258,0.004258,0.004258
60,7121.32,0.59196,0.69703,0.89555,1.30719,0.004159,0.004159,0.004159
61,7244.62,0.56404,0.69719,0.89567,1.30681,0.00406,0.00406,0.00406
62,7366.89,0.55959,0.69805,0.89607,1.30751,0.003961,0.003961,0.003961
63,7490.53,0.56348,0.6976,0.89636,1.30781,0.003862,0.003862,0.003862
64,7613.51,0.53897,0.69748,0.89685,1.30853,0.003763,0.003763,0.003763
65,7736.57,0.54221,0.69707,0.89668,1.30934,0.003664,0.003664,0.003664
66,7859.32,0.52261,0.69736,0.89681,1.31003,0.003565,0.003565,0.003565
67,7974.33,0.51245,0.69724,0.89664,1.31078,0.003466,0.003466,0.003466
68,8072.49,0.50601,0.69724,0.89689,1.31186,0.003367,0.003367,0.003367
69,8171.19,0.48762,0.69699,0.89689,1.31325,0.003268,0.003268,0.003268
70,8280.77,0.48773,0.69728,0.89729,1.31351,0.003169,0.003169,0.003169
71,8395.45,0.46087,0.6976,0.89709,1.31391,0.00307,0.00307,0.00307
72,8508.46,0.45064,0.69764,0.89676,1.31427,0.002971,0.002971,0.002971
73,8621.81,0.45543,0.69715,0.89701,1.31511,0.002872,0.002872,0.002872
74,8734.5,0.44796,0.69699,0.89672,1.31583,0.002773,0.002773,0.002773
75,8848.82,0.43947,0.69675,0.89676,1.31758,0.002674,0.002674,0.002674
76,8962.46,0.42497,0.69683,0.89664,1.31846,0.002575,0.002575,0.002575
77,9074.91,0.41647,0.69663,0.89664,1.31939,0.002476,0.002476,0.002476
78,9188.31,0.3988,0.69594,0.89648,1.3208,0.002377,0.002377,0.002377
79,9301.89,0.39349,0.6961,0.89652,1.32207,0.002278,0.002278,0.002278
80,9415.24,0.37471,0.69594,0.89595,1.32334,0.002179,0.002179,0.002179
81,9528.07,0.38438,0.69602,0.89595,1.3236,0.00208,0.00208,0.00208
82,9646.73,0.36387,0.69553,0.89595,1.32449,0.001981,0.001981,0.001981
83,9777.53,0.36108,0.69517,0.89587,1.32577,0.001882,0.001882,0.001882
84,9908.04,0.3585,0.69488,0.89587,1.32705,0.001783,0.001783,0.001783
85,10039.9,0.34696,0.69476,0.89571,1.32796,0.001684,0.001684,0.001684
86,10171.8,0.33413,0.69496,0.89571,1.32902,0.001585,0.001585,0.001585
87,10303.2,0.32563,0.69504,0.89563,1.33088,0.001486,0.001486,0.001486
88,10433.1,0.31859,0.69452,0.89551,1.33195,0.001387,0.001387,0.001387
89,10563.4,0.30675,0.69447,0.89522,1.33334,0.001288,0.001288,0.001288
90,10697.3,0.29975,0.69403,0.89518,1.33459,0.001189,0.001189,0.001189
91,10840.7,0.29642,0.69362,0.8951,1.33614,0.00109,0.00109,0.00109
