epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,332.455,5.40795,0.12534,0.25119,4.84534,0.00998889,0.00332963,0.00998889,0.00332963,0.00998889,0.00332963,0.00998889,0.00332963
1,666.768,5.40795,0.12534,0.25119,4.84534,0.00998889,0.00332963,0.00998889,0.00332963,0.00998889,0.00332963,0.00998889,0.00332963
2,1159.84,3.30761,0.36398,0.65003,2.74632,0.0197415,0.00658051,0.0197415,0.00658051,0.0197415,0.00658051,0.0197415,0.00658051
2,1195.2,3.30761,0.36398,0.65003,2.74632,0.0197415,0.00658051,0.0197415,0.00658051,0.0197415,0.00658051,0.0197415,0.00658051
3,1638.31,2.48795,0.33225,0.60893,3.03786,0.0292467,0.00974889,0.0292467,0.00974889,0.0292467,0.00974889,0.0292467,0.00974889
3,1674.42,2.48795,0.33225,0.60893,3.03786,0.0292467,0.00974889,0.0292467,0.00974889,0.0292467,0.00974889,0.0292467,0.00974889
4,2111.75,2.42889,0.4752,0.75463,2.18458,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
4,2142.55,2.42889,0.4752,0.75463,2.18458,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,2579.86,1.94977,0.53135,0.7993,1.89186,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,2613.35,1.94977,0.53135,0.7993,1.89186,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,3049.78,1.64623,0.60873,0.85475,1.53533,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
6,3084.83,1.64623,0.60873,0.85475,1.53533,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,3775.43,1.39895,0.64448,0.87569,1.37615,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
7,3573.07,1.39895,0.64448,0.87569,1.37615,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,4245.9,1.26747,0.66783,0.88797,1.29373,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
8,4046.13,1.26747,0.66783,0.88797,1.29373,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,4729.44,1.15932,0.69133,0.89923,1.1966,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,5209.37,1.05851,0.70591,0.90994,1.12125,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
9,4905.85,1.15932,0.69133,0.89923,1.1966,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,5367.65,1.05851,0.70591,0.90994,1.12125,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,5761.94,0.98744,0.711,0.91362,1.11174,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
11,5818.87,0.98744,0.711,0.91362,1.11174,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,6219.35,0.9433,0.73148,0.9181,1.02733,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
12,6281.02,0.9433,0.73148,0.9181,1.02733,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,6676.35,0.86229,0.73549,0.92131,1.02204,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
13,6742.59,0.86229,0.73549,0.92131,1.02204,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,7140.87,0.82334,0.74219,0.92418,0.99639,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
14,7209.53,0.82334,0.74219,0.92418,0.99639,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,7691.95,0.78839,0.74943,0.92805,0.97511,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
15,7675.94,0.78839,0.74943,0.92805,0.97511,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,8156.98,0.74561,0.75834,0.93092,0.93716,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
16,8148.65,0.74561,0.75834,0.93092,0.93716,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,8631.01,0.7247,0.76079,0.9313,0.93162,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
17,9231.89,0.7247,0.76079,0.9313,0.93162,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,9639.84,0.69459,0.75972,0.93325,0.91805,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
18,9736.45,0.69459,0.75972,0.93325,0.91805,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,10109.1,0.66055,0.76592,0.93739,0.91335,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
19,10196.4,0.66055,0.76592,0.93739,0.91335,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,10820,0.63207,0.76917,0.93869,0.89124,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
20,10651,0.63207,0.76917,0.93869,0.89124,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,11294.6,0.61165,0.77438,0.93876,0.88657,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,11730.7,0.5788,0.77913,0.93899,0.87885,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
21,11463.2,0.61165,0.77438,0.93876,0.88657,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
23,12181.1,0.58039,0.77859,0.93922,0.87663,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
22,11928.1,0.5788,0.77913,0.93899,0.87885,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
24,12638.2,0.55251,0.78188,0.93964,0.86379,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
23,12476.9,0.58039,0.77859,0.93922,0.87663,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
25,13097.1,0.53376,0.78238,0.94148,0.85885,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
24,13092.1,0.55251,0.78188,0.93964,0.86379,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
26,13553.1,0.52874,0.7836,0.9429,0.85759,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
25,13571,0.53376,0.78238,0.94148,0.85885,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
27,14016.6,0.4974,0.78475,0.94205,0.85506,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
26,14028.6,0.52874,0.7836,0.9429,0.85759,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
28,14472,0.48838,0.78601,0.94263,0.84879,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
27,14487.8,0.4974,0.78475,0.94205,0.85506,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
29,14927.2,0.47736,0.78801,0.94332,0.84435,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
28,14957.4,0.48838,0.78601,0.94263,0.84879,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
30,15574.8,0.46545,0.78758,0.94412,0.84376,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
29,15579.4,0.47736,0.78801,0.94332,0.84435,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,15866,0.46545,0.78758,0.94412,0.84376,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,16148.6,0.44948,0.78835,0.94485,0.84346,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,16430.5,0.43344,0.78919,0.94515,0.84079,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,16712,0.4311,0.78996,0.94546,0.83956,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,16997.2,0.41596,0.79237,0.94558,0.83781,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,17283,0.40661,0.79118,0.94554,0.83931,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,17568.8,0.38773,0.79122,0.94596,0.83778,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
