epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,203.916,5.39684,0.01641,0.05925,6.28933,0.00996835,0.00332278,0.00996835,0.00332278,0.00996835,0.00332278,0.00996835,0.00332278
2,396.745,3.95305,0.13735,0.29236,5.61275,0.0197212,0.00657375,0.0197212,0.00657375,0.0197212,0.00657375,0.0197212,0.00657375
3,589.438,2.27649,0.1829,0.36727,6.09005,0.0292266,0.00974221,0.0292266,0.00974221,0.0292266,0.00974221,0.0292266,0.00974221
4,781.135,1.80882,0.23209,0.41748,6.37256,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,975.186,1.4444,0.30132,0.47637,6.51809,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1170.2,1.26051,0.34195,0.51329,6.55942,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1363.51,1.10921,0.33358,0.50572,6.6107,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1559.31,1.02645,0.35654,0.52114,7.18782,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,1756.65,0.9336,0.32479,0.49582,7.04711,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,1953.06,0.86528,0.35934,0.52142,7.3787,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2149.93,0.80505,0.3739,0.53077,7.46108,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,2347.11,0.76987,0.38762,0.54114,7.53589,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,2543.64,0.7305,0.37204,0.53006,7.46264,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,2738.53,0.69583,0.38723,0.53862,7.91788,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,2935.35,0.65182,0.39141,0.54327,7.57857,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,3129.47,0.64961,0.39764,0.54548,7.99621,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,3325.74,0.60694,0.39488,0.54177,7.7505,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,3524.01,0.56098,0.40774,0.54674,8.02561,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,3817.98,0.55631,0.40214,0.54741,7.9153,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,4156.06,0.54865,0.4047,0.54808,8.0126,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,4524.15,0.52861,0.40963,0.55183,8.0949,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,4869.99,0.52033,0.40825,0.54994,7.9874,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,5239.11,0.5024,0.41291,0.55404,8.24492,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,5594.95,0.48364,0.41121,0.55171,8.2011,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,5943.93,0.46832,0.41886,0.55546,8.16189,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,6294.6,0.45718,0.41618,0.55491,8.13513,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,6645.27,0.4378,0.41985,0.55798,8.20694,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,6980.3,0.42111,0.42249,0.55787,8.1246,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,7323.5,0.43087,0.42103,0.55637,8.20307,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,7648.56,0.41096,0.42273,0.55668,8.21534,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,7948.36,0.40686,0.42454,0.55968,8.1727,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,8245.3,0.38757,0.42435,0.55798,8.29006,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
33,8549.87,0.3739,0.42573,0.5583,8.19249,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
34,8849.42,0.37063,0.42758,0.55846,8.25464,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625,0.0177488,0.00591625
35,9146.81,0.35536,0.4262,0.55802,8.38466,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
36,9389.06,0.35425,0.42687,0.55885,8.31691,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875,0.0170063,0.00566875
37,9618.31,0.34811,0.42707,0.56,8.32387,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
38,9844.62,0.33535,0.42699,0.55861,8.27276,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125,0.0162637,0.00542125
39,10071.9,0.32314,0.42817,0.56007,8.29397,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975,0.0158925,0.0052975
40,10302.1,0.32156,0.42793,0.56063,8.32234,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375,0.0155212,0.00517375
41,10532.5,0.31175,0.4292,0.56197,8.30419,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
42,10762.4,0.30433,0.42983,0.56248,8.25053,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625,0.0147788,0.00492625
43,10973.4,0.29267,0.4292,0.56201,8.31829,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025,0.0144075,0.0048025
44,11167.1,0.2869,0.43022,0.56248,8.31514,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875,0.0140363,0.00467875
45,11362.3,0.27717,0.43026,0.56185,8.32363,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,11557.3,0.27551,0.43014,0.5613,8.29837,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,11750.8,0.26984,0.43054,0.56098,8.2675,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,11947.9,0.24995,0.43062,0.5611,8.31952,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,12140.3,0.25556,0.43121,0.56138,8.26383,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,12332.4,0.25599,0.43148,0.56185,8.26507,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,12527.6,0.24394,0.432,0.56216,8.28448,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,12723.3,0.22585,0.43196,0.56205,8.21268,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,12917.4,0.22475,0.43243,0.56193,8.27799,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,13111.7,0.21127,0.43137,0.56224,8.2997,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,13305.1,0.21347,0.43156,0.56216,8.2409,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,13499.4,0.21111,0.43204,0.56201,8.25881,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,13696.2,0.204,0.43247,0.56276,8.2525,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,13892.4,0.19745,0.43247,0.56264,8.31262,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,14088.3,0.18976,0.4333,0.5626,8.26363,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,14284.1,0.18437,0.4331,0.56256,8.26057,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,14480.9,0.18229,0.43302,0.56256,8.18907,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,46021.7,0.17371,0.43334,0.5626,8.208,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,46268.1,0.15462,0.43365,0.5624,8.22274,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,46526.2,0.17009,0.43346,0.56228,8.21379,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,46780.6,0.15485,0.43338,0.56228,8.16453,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,47042.5,0.14736,0.43365,0.56216,8.19678,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,47301.8,0.14055,0.43373,0.56205,8.16477,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,47557.4,0.14081,0.43413,0.56205,8.16254,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,47815.9,0.13011,0.43373,0.56201,8.17605,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,48063.9,0.13284,0.43361,0.56236,8.10723,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,48337.4,0.11806,0.43298,0.56244,8.12139,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
